t [days], x [Au], y [Au], z [Au]
0.0,5.250697709600731,0.003807823037496628,0.0
0.5,5.2506903772549185,0.00761564471467872,0.0
1.0,5.250679378748655,0.01142346367118129,0.0
1.5,5.250664714099159,0.015231278546550809,0.0
2.0,5.250646383330332,0.01903908798020712,0.0
2.5,5.250624386472754,0.022846890611405338,0.0
3.0,5.250598723563693,0.026654685079197823,0.0
3.5,5.250569394647085,0.03046247002239611,0.0
4.0,5.250536399773549,0.0342702440795329,0.0
4.5,5.25049973900037,0.03807800588882405,0.0
5.0,5.250459412391504,0.04188575408813064,0.0
5.5,5.2504154200175694,0.04569348731492101,0.0
6.0,5.250367761955843,0.04950120420623288,0.0
6.5,5.250316438290255,0.053308903398635504,0.0
7.0,5.250261449111387,0.057116583528191864,0.0
7.5,5.2502027945164595,0.060924243230420894,0.0
8.0,5.250140474609332,0.06473188114025978,0.0
8.5,5.250074489500492,0.06853949589202632,0.0
9.0,5.250004839307052,0.07234708611938133,0.0
9.5,5.249931524152735,0.07615465045529111,0.0
10.0,5.2498545441678734,0.07996218753199,0.0
10.5,5.249773899489399,0.08376969598094292,0.0
11.0,5.2496895902608305,0.08757717443280816,0.0
11.5,5.249601616632269,0.09138462151740004,0.0
12.0,5.249509978760386,0.09519203586365184,0.0
12.5,5.249414676808414,0.09899941609957863,0.0
13.0,5.249315710946133,0.10280676085224036,0.0
13.5,5.249213081349866,0.10661406874770492,0.0
14.0,5.24910678820246,0.11042133841101134,0.0
14.5,5.2489968316932805,0.11422856846613313,0.0
15.0,5.248883212018197,0.1180357575359416,0.0
15.5,5.248765929379569,0.12184290424216944,0.0
16.0,5.248644983986237,0.1256500072053743,0.0
16.5,5.248520376053504,0.12945706504490254,0.0
17.0,5.248392105803126,0.1332640763788529,0.0
17.5,5.248260173463295,0.1370710398240408,0.0
18.0,5.2481245792686275,0.1408779539959621,0.0
18.5,5.2479853234601475,0.1446848175087574,0.0
19.0,5.24784240628527,0.14849162897517645,0.0
19.5,5.247695827997786,0.15229838700654252,0.0
20.0,5.247545588857851,0.156105090212717,0.0
20.5,5.247391689131962,0.1599117372020643,0.0
21.0,5.247234129092944,0.1637183265814164,0.0
21.5,5.2470729090199315,0.1675248569560382,0.0
22.0,5.246908029198352,0.1713313269295925,0.0
22.5,5.246739489919907,0.17513773510410535,0.0
23.0,5.246567291482555,0.17894408007993154,0.0
23.5,5.246391434190492,0.1827503604557202,0.0
24.0,5.246211918354129,0.18655657482838073,0.0
24.5,5.24602874429008,0.19036272179304847,0.0
25.0,5.245841912321136,0.194168799943051,0.0
25.5,5.245651422776248,0.1979748078698744,0.0
26.0,5.245457275990503,0.2017807441631297,0.0
26.5,5.245259472305107,0.2055866074105194,0.0
27.0,5.245058012067361,0.20939239619780445,0.0
27.5,5.244852895630641,0.21319810910877107,0.0
28.0,5.244644123354377,0.21700374472519796,0.0
28.5,5.244431695604026,0.22080930162682363,0.0
29.0,5.244215612751055,0.22461477839131402,0.0
29.5,5.243995875172915,0.22842017359423009,0.0
30.0,5.243772483253019,0.23222548580899574,0.0
30.5,5.2435454373807175,0.236030713606866,0.0
31.0,5.243314737951273,0.23983585555689524,0.0
31.5,5.24308038536584,0.24364091022590573,0.0
